package_name,class_name,method_name,type,Harmony API Package Name,Harmony API Class Name,Harmony API Methods,Harmony API Type
android.media,ExifInterface,getAltitude,class,,,,
android.media,ExifInterface,getAttribute,class,,,,
android.media,ExifInterface,getAttributeBytes,class,,,,
android.media,ExifInterface,getAttributeDouble,class,,,,
android.media,ExifInterface,getAttributeInt,class,,,,
android.media,ExifInterface,getAttributeRange,class,,,,
android.media,ExifInterface,getLatLong,class,,,,
android.media,ExifInterface,getThumbnail,class,,,,
android.media,ExifInterface,getThumbnailBitmap,class,,,,
android.media,ExifInterface,getThumbnailBytes,class,,,,
android.media,ExifInterface,getThumbnailRange,class,,,,
android.media,ExifInterface,hasAttribute,class,,,,
android.media,ExifInterface,hasThumbnail,class,,,,
android.media,ExifInterface,isThumbnailCompressed,class,,,,
android.media,ExifInterface,saveAttributes,class,,,,
android.media,ExifInterface,setAttribute,class,,,,
android.telephony,SubscriptionManager,from,class,,,,
android.telephony,SubscriptionManager,getActiveDataSubscriptionId,class,,,,
android.telephony,SubscriptionManager,getDefaultDataSubscriptionId,class,,,,
android.telephony,SubscriptionManager,getDefaultSmsSubscriptionId,class,,,,
android.telephony,SubscriptionManager,getDefaultSubscriptionId,class,,,,
android.telephony,SubscriptionManager,getDefaultVoiceSubscriptionId,class,,,,
android.telephony,SubscriptionManager,getSlotIndex,class,,,,
android.telephony,SubscriptionManager,isUsableSubscriptionId,class,,,,
android.telephony,SubscriptionManager,isValidSubscriptionId,class,,,,
android.telephony,SubscriptionManager,addOnOpportunisticSubscriptionsChangedListener,class,,,,
android.telephony,SubscriptionManager,addOnSubscriptionsChangedListener,class,,,,
android.telephony,SubscriptionManager,addOnSubscriptionsChangedListener,class,,,,
android.telephony,SubscriptionManager,addSubscriptionsIntoGroup,class,,,,
android.telephony,SubscriptionManager,canManageSubscription,class,,,,
android.telephony,SubscriptionManager,createSubscriptionGroup,class,,,,
android.telephony,SubscriptionManager,getAccessibleSubscriptionInfoList,class,,,,
android.telephony,SubscriptionManager,getActiveSubscriptionInfo,class,,,,
android.telephony,SubscriptionManager,getActiveSubscriptionInfoCount,class,,,,
android.telephony,SubscriptionManager,getActiveSubscriptionInfoCountMax,class,,,,
android.telephony,SubscriptionManager,getActiveSubscriptionInfoForSimSlotIndex,class,,,,
android.telephony,SubscriptionManager,getActiveSubscriptionInfoList,class,,,,
android.telephony,SubscriptionManager,getCompleteActiveSubscriptionInfoList,class,,,,
android.telephony,SubscriptionManager,getOpportunisticSubscriptions,class,,,,
android.telephony,SubscriptionManager,getSubscriptionIds,class,,,,
android.telephony,SubscriptionManager,getSubscriptionPlans,class,,,,
android.telephony,SubscriptionManager,getSubscriptionsInGroup,class,,,,
android.telephony,SubscriptionManager,isActiveSubscriptionId,class,,,,
android.telephony,SubscriptionManager,isNetworkRoaming,class,,,,
android.telephony,SubscriptionManager,removeOnOpportunisticSubscriptionsChangedListener,class,,,,
android.telephony,SubscriptionManager,removeOnSubscriptionsChangedListener,class,,,,
android.telephony,SubscriptionManager,removeSubscriptionsFromGroup,class,,,,
android.telephony,SubscriptionManager,setOpportunistic,class,,,,
android.telephony,SubscriptionManager,setSubscriptionOverrideCongested,class,,,,
android.telephony,SubscriptionManager,setSubscriptionOverrideUnmetered,class,,,,
android.telephony,SubscriptionManager,setSubscriptionPlans,class,,,,
android.telephony,SubscriptionManager,switchToSubscription,class,,,,
android.widget,GridLayout$Alignment,,class,,,,
java.util,WeakHashMap,clear,class,,,,
java.util,WeakHashMap,containsKey,class,,,,
java.util,WeakHashMap,containsValue,class,,,,
java.util,WeakHashMap,entrySet,class,,,,
java.util,WeakHashMap,forEach,class,,,,
java.util,WeakHashMap,get,class,,,,
java.util,WeakHashMap,isEmpty,class,,,,
java.util,WeakHashMap,keySet,class,,,,
java.util,WeakHashMap,put,class,,,,
java.util,WeakHashMap,putAll,class,,,,
java.util,WeakHashMap,remove,class,,,,
java.util,WeakHashMap,replaceAll,class,,,,
java.util,WeakHashMap,size,class,,,,
java.util,WeakHashMap,values,class,,,,
android.graphics.drawable,Animatable2,clearAnimationCallbacks,interface,,,,
android.graphics.drawable,Animatable2,registerAnimationCallback,interface,,,,
android.graphics.drawable,Animatable2,unregisterAnimationCallback,interface,,,,
android.icu.util,IslamicCalendar,getCalculationType,class,,,,
android.icu.util,IslamicCalendar,getType,class,,,,
android.icu.util,IslamicCalendar,setCalculationType,class,,,,
android.webkit,WebMessage,getData,class,,,,
android.webkit,WebMessage,getPorts,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,add,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,addAll,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,contains,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,isEmpty,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,iterator,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,offer,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,peek,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,poll,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,remove,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,size,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,spliterator,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,toArray,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,toArray,class,,,,
java.util.concurrent,ConcurrentLinkedQueue,toString,class,,,,
android.opengl,GLSurfaceView,getDebugFlags,class,,,,
android.opengl,GLSurfaceView,getPreserveEGLContextOnPause,class,,,,
android.opengl,GLSurfaceView,getRenderMode,class,,,,
android.opengl,GLSurfaceView,onPause,class,,,,
android.opengl,GLSurfaceView,onResume,class,,,,
android.opengl,GLSurfaceView,queueEvent,class,,,,
android.opengl,GLSurfaceView,requestRender,class,,,,
android.opengl,GLSurfaceView,setDebugFlags,class,,,,
android.opengl,GLSurfaceView,setEGLConfigChooser,class,,,,
android.opengl,GLSurfaceView,setEGLConfigChooser,class,,,,
android.opengl,GLSurfaceView,setEGLConfigChooser,class,,,,
android.opengl,GLSurfaceView,setEGLContextClientVersion,class,,,,
android.opengl,GLSurfaceView,setEGLContextFactory,class,,,,
android.opengl,GLSurfaceView,setEGLWindowSurfaceFactory,class,,,,
android.opengl,GLSurfaceView,setGLWrapper,class,,,,
android.opengl,GLSurfaceView,setPreserveEGLContextOnPause,class,,,,
android.opengl,GLSurfaceView,setRenderMode,class,,,,
android.opengl,GLSurfaceView,setRenderer,class,,,,
android.opengl,GLSurfaceView,surfaceChanged,class,,,,
android.opengl,GLSurfaceView,surfaceCreated,class,,,,
android.opengl,GLSurfaceView,surfaceDestroyed,class,,,,
android.opengl,GLSurfaceView,surfaceRedrawNeeded,class,,,,
android.opengl,GLSurfaceView,surfaceRedrawNeededAsync,class,,,,
android.graphics,BlendMode,valueOf,enum,,,,
android.graphics,BlendMode,values,enum,,,,
android.hardware.camera2.params,RecommendedStreamConfigurationMap,getHighResolutionOutputSizes,class,,,,
